,Name,Yelp Rating,Yelp Num Reviews,Yelp Address,Yelp Cost,Yelp Tags,Zip Code,Neighborhood
879,Lunchbox Lab,3.4,1309.0,"1253 Thomas St Seattle, WA 98109",$$,"['Burgers', 'New American']",98109,Queen Anne/South Lake Union
886,The Original Pancake House,3.6,287.0,"8037 15th Ave NW Seattle, WA 98117",$$,"['Breakfast & Brunch', 'Waffles', 'Juice Bars & Smoothies']",98117,Other
887,Mediterranean Grill,4.5,171.0,"1712 N 45th St Seattle, WA 98103",,"['Mediterranean', 'Barbeque', 'Sandwiches']",98103,Fremont/Wallingford
898,Magnuson Cafe & Brewery,3.4,259.0,"7801 62nd Ave NE Seattle, WA 98115",$$,"['Brewpubs', 'Breakfast & Brunch']",98115,Other
900,Sunny Teriyaki,3.9,157.0,"2035 NW Market St Seattle, WA 98107",Unclaimed,['Japanese'],98107,Ballard
913,Tokyo Teriyaki,3.4,149.0,"803 E Pike St Seattle, WA 98122",Unclaimed,"['Japanese', 'Korean']",98122,Capitol Hill
925,Sand Point Grill,3.9,151.0,"5412 Sand Point Way NE Seattle, WA 98105",$$,"['New American', 'Cocktail Bars']",98105,University District
927,People Of The Chubbs,4.1,56.0,"6031 Airport Way S Seattle, WA 98108",$,"['Food Trucks', 'New American']",98108,Other
931,Simply Soulful,4.2,411.0,"2321 S Jackson St Seattle, WA 98144",Unclaimed,"['Desserts', 'Soul Food', 'Southern']",98144,Other
932,Potbelly Sandwich Shop,3.4,110.0,"1208 Madison St Ste 121 Seattle, WA 98104",$,"['Sandwiches', 'Fast Food', 'Salad']",98104,Chinatown
948,Seoul Fried Chicken,4.4,157.0,"722 12th ave Seattle, WA 98122",$$,"['Food Trucks', 'Korean']",98122,Capitol Hill
949,Little Duck,4,126.0,"4100 Roosevelt Way NE Unit B Seattle, WA 98105",Unclaimed,['Chinese'],98105,University District
970,Pop Pop Thai Street Food,4.3,709.0,"13242 Aurora Ave N Ste 104 Seattle, WA 98133",$$,"['Thai', 'Noodles']",98133,Bitter Lake
978,Elliott Bay Public House & Brewery,3.9,635.0,"12537 Lake City Way NE Seattle, WA 98125",$$,"['American', 'Brewpubs', 'Tapas/Small Plates']",98125,Northgate
983,Sultan Gyro and Shawarma Grill,4.1,184.0,"4222 University Way NE Seattle, WA 98105",Unclaimed,"['Mediterranean', 'Salad', 'Sandwiches']",98105,University District
984,Saltoro,4,329.0,"14051 Greenwood Ave N Seattle, WA 98133",$$,"['Italian', 'American', 'Coffee & Tea']",98133,Bitter Lake
986,Friendship Foods BBQ,4.7,188.0,"13520 Aurora Ave N Seattle, WA 98133",$$,"['Barbeque', 'Seafood', 'Chinese']",98133,Bitter Lake
992,Beyond The Bowl,4.5,259.0,"12518 Lake City Way NE Seattle, WA 98125",$$,"['Poke', 'Japanese', 'Desserts']",98125,Northgate
994,Tasty Pot,3.8,94.0,"4509 University Way NE Seattle, WA 98105",$$,"['Taiwanese', 'Bubble Tea', 'Hot Pot']",98105,University District
998,The Maple,4,310.0,"8929 Roosevelt Way NE Seattle, WA 98115",$$,"['Breakfast & Brunch', 'American', 'Cocktail Bars']",98115,Other
1000,Umami Burger,2.6,18.0,"825 NE Northgate Way Seattle, WA 98125",Unclaimed,['Burgers'],98125,Northgate
1001,Santa Fe Mexican Grill & Cantina,4.1,43.0,"9747 4th Ave NW Seattle, WA 98117",$$,['Mexican'],98117,Other
1003,Little Ting’s Dumplings,3.8,402.0,"14411 Greenwood Ave N Seattle, WA 98133",$$,"['Chinese', 'Soup', 'Salad']",98133,Bitter Lake
1013,Yuan Bao,4.7,32.0,"12716 Lake City Way NE Seattle, WA 98125",,"['Taiwanese', 'Bubble Tea']",98125,Northgate
1017,Mount&Bao,3.9,258.0,"12534 Lake City Way NE Seattle, WA 98125",$$,"['Chinese', 'Noodles']",98125,Northgate
1018,Toyoda Sushi,3.9,407.0,"12543 Lake City Way NE Seattle, WA 98125",Unclaimed,"['Sushi Bars', 'Japanese']",98125,Northgate
1021,HK Dim Sum,3.2,491.0,"13200 Aurora Ave N Ste F Seattle, WA 98133",Unclaimed,"['Dim Sum', 'Cantonese']",98133,Bitter Lake
1022,Kiriba Sushi,4.1,273.0,"323 N 145th St Seattle, WA 98133",Unclaimed,"['Japanese', 'Sushi Bars']",98133,Bitter Lake
1024,The Greek Kitchen,3.5,46.0,"401 NE Northgate Way Seattle, WA 98125",$$,"['Greek', 'Middle Eastern', 'Mediterranean']",98125,Northgate
1025,Valhalla Sandwiches,4.7,397.0,"8202 Greenwood Ave N Seattle, WA 98103",$$,['Sandwiches'],98103,Fremont/Wallingford
1026,Zylberschtein’s Delicatessen & Bakery,3.9,325.0,"11752 15th Ave NE Seattle, WA 98125",$$,"['Bakeries', 'Bagels', 'Custom Cakes']",98125,Northgate
1028,No.9 Alley Hot Pot,4,208.0,"930 N 130th St Seattle, WA 98133",$$$,"['Hot Pot', 'Szechuan', 'Buffets']",98133,Bitter Lake
1029,Szechuan Cuisine,4,738.0,"1048 S Jackson St Seattle, WA 98104",$$,"['Szechuan', 'Hot Pot', 'Noodles']",98104,Chinatown
1043,Don Lucho’s Restaurant & Pisco Bar,4.4,348.0,"7919 Roosevelt Ave NE Seattle, WA 98115",$$,"['Peruvian', 'Sandwiches', 'Desserts']",98115,Other
1044,Rain Cafe,3.6,436.0,"13200 Aurora Avenue N Ste C Seattle, WA 98133",Unclaimed,"['Coffee & Tea', 'Bubble Tea', 'Asian Fusion']",98133,Bitter Lake
1050,Pizzeria La Rocca,4.5,136.0,"8404 Greenwood Ave N Seattle, WA 98103",$$,"['Pizza', 'Coffee & Tea', 'Breakfast & Brunch']",98103,Fremont/Wallingford
1051,El Parche Colombiano Restaurant,4.2,97.0,"11740 15th Ave NE Seattle, WA 98125",$$,['Colombian'],98125,Northgate
1053,Thai Bistro,3.1,322.0,"323 NE Thornton Pl Seattle, WA 98125",Unclaimed,['Thai'],98125,Northgate
1054,Indo Cafe,4.2,325.0,"13754 Aurora Ave N Seattle, WA 98133",$$,['Indonesian'],98133,Bitter Lake
1055,Casa Del Mariachi,4.7,88.0,"12327 Roosevelt Way NE Seattle, WA 98125",$$,['Mexican'],98125,Northgate
1064,Wonton Noodle House,4,344.0,"608 S Weller St Seattle, WA 98104",Unclaimed,"['Cantonese', 'Noodles']",98104,Chinatown
1066,The Unique Cafe & Wine,4.5,48.0,"12319 Roosevelt Way NE Seattle, WA 98125",$$,"['Pizza', 'Italian', 'Desserts']",98125,Northgate
1068,Saffron Grill,4,1523.0,"2132 N Northgate Way Seattle, WA 98133",$$,"['Indian', 'Mediterranean', 'Cocktail Bars']",98133,Bitter Lake
1071,V House Noodle,4.5,19.0,"12752 Aurora Ave N Seattle, WA 98133",,"['Vietnamese', 'Noodles', 'Bubble Tea']",98133,Bitter Lake
1072,Man’oushe Express,4.5,196.0,"13721 Lake City Way NE Level A Seattle, WA 98125",$,"['Pizza', 'Sandwiches', 'Salad']",98125,Northgate
