index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
48,Tulio,https://www.tripadvisor.com/Restaurant_Review-g60878-d432601-Reviews-Tulio-Seattle_Washington.html,4.5,1178,"1100 5th Ave, Seattle, WA 98101","#29 of 2,182 Restaurants in Seattle","[678, 301, 95, 29, 22]",$$ - $$$,ItalianEuropeanTuscan
49,MOD Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d1497529-Reviews-MOD_Pizza-Seattle_Washington.html,4.5,484,"1302 6th Ave One Union Square, Seattle, WA 98101-2305",#15 of 302 Quick Bites in Seattle,"[252, 154, 42, 8, 4]",$,Quick BitesItalianAmerican
50,Market Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d479783-Reviews-Market_Grill-Seattle_Washington.html,4.5,263,"1509 Pike Pl Ste 3, Seattle, WA 98101-1526","#30 of 2,182 Restaurants in Seattle","[156, 60, 24, 4, 1]",$$ - $$$,AmericanSeafoodSoups
51,John Howie Steak,https://www.tripadvisor.com/Restaurant_Review-g58349-d1631266-Reviews-John_Howie_Steak-Bellevue_Washington.html,4.5,587,"11111 NE 8th St Ste 125, Bellevue, WA 98004-4479",#2 of 316 Restaurants in Bellevue,"[353, 131, 53, 24, 9]",$$$$,AmericanSteakhouseGluten Free Options
52,Altura Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d3206583-Reviews-Altura_Restaurant-Seattle_Washington.html,4.5,352,"617 Broadway E, Seattle, WA 98102-5025","#31 of 2,182 Restaurants in Seattle","[265, 36, 21, 9, 5]",$$$$,ItalianVegetarian Friendly
53,Toulouse Petit Kitchen & Lounge,https://www.tripadvisor.com/Restaurant_Review-g60878-d1635070-Reviews-Toulouse_Petit_Kitchen_Lounge-Seattle_Washington.html,4.5,1661,"601 Queen Anne Ave N, Seattle, WA 98109-4013","#32 of 2,182 Restaurants in Seattle","[1018, 393, 126, 45, 23]",$$ - $$$,AmericanCajun & CreoleVegetarian Friendly
54,Din Tai Fung,https://www.tripadvisor.com/Restaurant_Review-g58349-d1948185-Reviews-Din_Tai_Fung-Bellevue_Washington.html,4.5,1234,"700 Bellevue Way NE between 6th St & 8th St, Bellevue, WA 98004-5046",#3 of 316 Restaurants in Bellevue,"[693, 321, 109, 26, 28]",$$ - $$$,ChineseAsianTaiwanese
55,Canlis Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d432552-Reviews-Canlis_Restaurant-Seattle_Washington.html,4.5,1230,"2576 Aurora Ave N, Seattle, WA 98109-2206","#33 of 2,182 Restaurants in Seattle","[840, 180, 92, 37, 40]",$$$$,AmericanContemporaryVegetarian Friendly
56,Metropolitan Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d432615-Reviews-Metropolitan_Grill-Seattle_Washington.html,4.5,1619,"820 2nd Ave, Seattle, WA 98104-1502","#34 of 2,182 Restaurants in Seattle","[969, 302, 134, 53, 32]",$$$$,SteakhouseGluten Free Options
57,El Gaucho Seattle,https://www.tripadvisor.com/Restaurant_Review-g60878-d433073-Reviews-El_Gaucho_Seattle-Seattle_Washington.html,4.5,610,"2200 Western Ave cross street: Blanchard, Seattle, WA 98121-1921","#35 of 2,182 Restaurants in Seattle","[360, 115, 58, 28, 19]",$$$$,AmericanSteakhouseGluten Free Options
58,Cafe Campagne,https://www.tripadvisor.com/Restaurant_Review-g60878-d432688-Reviews-Cafe_Campagne-Seattle_Washington.html,4.5,1016,"1600 Post Aly, Seattle, WA 98101-1567","#36 of 2,182 Restaurants in Seattle","[513, 323, 105, 35, 13]",$$ - $$$,FrenchCafeVegetarian Friendly
59,Peyrassol Cafe,https://www.tripadvisor.com/Restaurant_Review-g58704-d2201039-Reviews-Peyrassol_Cafe-Renton_Washington.html,4.5,197,"1083 Lake Washington Blvd N Ste 30, Renton, WA 98056-6459",#2 of 199 Restaurants in Renton,"[147, 40, 9, 0, 1]",$$ - $$$,FrenchEuropeanVegetarian Friendly
60,Top Pot Doughnuts,https://www.tripadvisor.com/Restaurant_Review-g60878-d463533-Reviews-Top_Pot_Doughnuts-Seattle_Washington.html,4.5,927,"2124 5th Ave, Seattle, WA 98121-2511",#3 of 225 Coffee & Tea in Seattle,"[510, 218, 121, 23, 10]",$,BakeriesAmericanCafe
61,Duke's Seafood South Lake Union,https://www.tripadvisor.com/Restaurant_Review-g60878-d463481-Reviews-Duke_s_Seafood_South_Lake_Union-Seattle_Washington.html,4.5,978,"1111 Fairview Ave N, Seattle, WA 98109","#37 of 2,182 Restaurants in Seattle","[498, 287, 106, 29, 14]",$$ - $$$,AmericanBarSeafood
62,Barolo Ristorante,https://www.tripadvisor.com/Restaurant_Review-g60878-d642846-Reviews-Barolo_Ristorante-Seattle_Washington.html,4.5,533,"1940 Westlake Ave, Seattle, WA 98101-1218","#38 of 2,182 Restaurants in Seattle","[262, 169, 40, 14, 13]",$$ - $$$,ItalianWine BarVegetarian Friendly
63,Cactus Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58541-d463624-Reviews-Cactus_Restaurant-Kirkland_Washington.html,4.5,475,"121 Park Ln, Kirkland, WA 98033-6114",#2 of 147 Restaurants in Kirkland,"[235, 173, 41, 12, 9]",$$ - $$$,MexicanSouthwesternLatin
64,Le Pichet,https://www.tripadvisor.com/Restaurant_Review-g60878-d432613-Reviews-Le_Pichet-Seattle_Washington.html,4.5,603,"1933 1st Ave, Seattle, WA 98101-1010","#39 of 2,182 Restaurants in Seattle","[337, 168, 55, 14, 16]",$$ - $$$,FrenchEuropeanVegetarian Friendly
65,Japonessa Sushi Cocina,https://www.tripadvisor.com/Restaurant_Review-g60878-d1946634-Reviews-Japonessa_Sushi_Cocina-Seattle_Washington.html,4.5,860,"1400 1st Ave, Seattle, WA 98101-2004","#40 of 2,182 Restaurants in Seattle","[451, 238, 57, 35, 19]",$$ - $$$,JapaneseSeafoodSushi
